,Title,Date,Time,Score,Number of Comments
0,Megathread: Sean Spicer WWII gaffe,2017-04-12,00:51:25,14938,6461
1,Manafort Firm Received Ukraine Ledger Payout,2017-04-12,15:12:43,11993,809
2,"Its not too late to get rid of FBI Director James Comey, Trump says",2017-04-12,17:42:17,3119,748
3,"Donald Trump, who doesnt read books, is ignorant of history  and so is his pet chump Sean Spicer",2017-04-12,14:14:59,5758,518
4,Did he or didnt he? Trump contradicts himself on whether he knew Steve Bannon,2017-04-12,16:52:49,2993,256
5,Trump lists Carter Page among his foreign policy team in 2016,2017-04-12,17:14:42,2018,58
6,Is Stephen Bannon getting pushed out? The latest signs point to Yes.,2017-04-12,18:17:28,1227,129
7,Silicon Valley is beginning to fight the Trump administrations net neutrality plan,2017-04-12,15:55:31,1823,84
8,Theres proof that ex-Trump campaign manager Paul Manafort lied about not being paid by Russia proxies: report,2017-04-12,16:57:03,1370,20
9,TMZ catches Paul Ryan vacationing at Universal theme park while avoiding town halls at home,2017-04-12,17:50:41,1090,99
10,EPA: US Steel leaks chemical into Lake Michigan tributary,2017-04-12,19:21:16,792,110
11,Dems to unveil populist agenda showing Sanders sway,2017-04-12,14:56:10,1610,421
12,Trump Lifting His Federal Hiring Freeze,2017-04-12,14:57:00,1575,241
13,Prosecutor: Jeff Sessionss New Immigration Plan Is F*cking Horrifying,2017-04-12,16:18:35,1188,375
14,Trump tells Fox how he ordered strikes on Syria over dessert with Xi,2017-04-12,19:01:37,630,172
15,"The Republican Won, but Voters Shifted Left in the Kansas Special Election",2017-04-12,15:35:08,1127,187
16,Poll: Dems hold double-digit leads in Virginia governor race,2017-04-12,17:10:49,796,35
17,President Trumps vacations already set to surpass Obamas total travel expenses,2017-04-12,16:00:07,898,64
18,Trump wont let reality stop him from lying about Susan Rice,2017-04-12,18:49:17,520,48
19,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,2017-04-12,03:15:04,32300,4158
20,The Republican Party is dissolving before our eyes,2017-04-12,15:54:40,841,277
21,President Trump gets almost everything wrong about the Kansas special election in a dumbfounding tweet,2017-04-12,17:58:58,562,70
22,Manafort firm received Ukraine ledger payout,2017-04-12,15:36:10,824,7
23,Congressmen Gaetz and Soto Propose Legislation to Reschedule Marijuana,2017-04-12,18:37:10,436,38
24,Sessions: Congress will fund Trumps border wall,2017-04-12,16:19:56,653,135
25,"Classified docs contradict Nunes surveillance claims, GOP and Dem sources say",2017-04-12,04:04:48,8339,498
26,When a loss is a win: 25-point swing in Kansas House race could mean Democratic landslide in 2018,2017-04-12,18:15:13,365,135
27,Why are California legislators getting decent approval ratings? Theyre getting things done,2017-04-12,19:27:49,305,26
28,"US companies now have 1.6 trillion stashed in tax havens and Trumps plans will make matters worse, Oxfam claims",2017-04-12,15:18:46,601,15
29,FBI says Jeff Sessions pick for Trump team was an alleged Russian agent,2017-04-12,19:59:03,250,71
30,Trump just threw Steve Bannon under the bus and backed it up over him,2017-04-12,18:33:49,315,40
31,Trumps saber-rattling is North Koreas propaganda dream come true,2017-04-12,17:31:38,381,22
32,Carter Page Feels Like a Warning Shot,2017-04-12,18:09:55,326,37
33,This could be the end for Bill OReilly,2017-04-12,18:43:34,293,47
34,DeVos undoes Obama student loan protections; defaults expected to rise,2017-04-12,19:27:10,254,79
35,"Trump says he created 600,000 jobs. Not true",2017-04-12,06:49:56,2438,114
36,Nature supports the march for science,2017-04-12,15:04:11,521,19
37,Spicer: I let the president down,2017-04-12,17:50:55,300,90
38,Russian Spy Met Trump Adviser Carter Page and Thought He Was an Idiot,2017-04-12,07:47:26,1905,114
39,Airlines Treat People Like Dirt Because the Republicans in Congress Let Them,2017-04-12,16:27:27,375,69
40,"Trump Budget Director Admits Their Goal Is High Inequality, Not Low Deficits",2017-04-12,18:07:22,259,6
41,Republican climate change deniers condemned as woefully ignorant by scientists,2017-04-12,16:36:11,327,8
42,"Trump thinks that we bombed Iraq, not Syria. Has to be corrected by the interviewer.",2017-04-12,20:00:38,164,56
43,DeVos Undoes Obama Student Loan Protections,2017-04-11,23:49:40,9458,1437
44,Trump voters realize the hard way that the president cant follow through.,2017-04-12,16:10:32,311,29
45,The wife of the Alabama governor who just resigned orchestrated his downfall after she caught him cheating,2017-04-12,03:58:22,2785,231
46,"Middle East travellers to the US down 20%, says Marriott CEO",2017-04-12,15:16:36,336,28
47,Every Part Of This Sentence From Donald Trump Is False,2017-04-12,18:37:20,179,17
48,Republicans are floating a tax reform plan that could threaten Social Security,2017-04-12,18:28:26,177,17
49,Tillerson Asks Why U.S. Taxpayers Should Care About Ukraine,2017-04-12,02:33:53,3254,515
50,Germany on Spicer: Nazi parallels lead to nothing good,2017-04-12,18:48:21,154,15
51,Ajit Pai cant convince websites that killing net neutrality is a good idea,2017-04-12,18:46:54,147,14
52,The FCCs plan to kill net neutrality will also kill internet privacy,2017-04-12,18:58:58,149,2
53,Chris Matthews speculates Syria airstrike was set piece to kill Trump/Putin narrative,2017-04-12,17:30:47,182,13
54,"If every House election went like last nights, Dems would win a 314-seat House majority in 2018",2017-04-12,19:56:38,103,44
55,North Carolina Republicans File Bill to Ban Same-Sex Marriage,2017-04-12,16:52:34,191,29
56,Mitt Romneys binders full of women were real and have been leaked to the press,2017-04-12,16:01:18,222,28
57,Donald Trump just keeps saying things that arent true,2017-04-12,20:17:58,102,14
58,"Crowd shouts You Lie at Joe Wilson, who shouted at Obama",2017-04-12,01:21:00,3337,157
59,The stunning hypocrisy of Scott Pruitts request for around-the-clock bodyguards,2017-04-12,18:34:39,142,20
60,Jeff Sessions prepared speech at the border referred to immigrants as filth,2017-04-11,23:14:40,5097,800
61,"The Trump Administration Lost Again in Court, This Time on Voter ID",2017-04-12,00:56:34,3469,245
62,Trump: I told Chinese president about Syria airstrikes over dessert,2017-04-12,18:15:01,140,42
63,"Trump Declines to Say He Supports Bannon, Declares, Im My Own Strategist",2017-04-12,17:39:38,154,18
64,Howard Dean was warning people about the opioid crisis a decade ago,2017-04-12,18:30:24,132,15
65,Putin meets with Tillerson in Russia as Syria row deepens,2017-04-12,19:34:44,107,27
66,A group of engineers just submitted this incredible proposal for Trumps border wall thats actually a $15 billion hyperloop,2017-04-12,19:25:17,100,27
67,Donald Trump sounds sick of Steve Bannon,2017-04-12,17:54:51,137,12
68,"Schumer: If Trump doesnt release his tax returns, its going to make tax reform much harder",2017-04-11,19:57:05,12772,888
69,The butchers bill keeps growing: Donald Trump abuses his own voters  and yet they love him,2017-04-12,13:36:20,273,24
70,White House loses it over sanctuary cities: Team Trump threatens a government shutdown,2017-04-12,20:06:25,83,13
71,Utah brothers launch billboard campaign to send message to Chaffetz,2017-04-12,07:09:34,872,39
72,Trumps modeling agency to shut down after exploiting illegal immigrants,2017-04-11,21:11:13,6815,232
73,Trump blames vacancies on lousy process,2017-04-12,16:43:00,147,19
74,Fox Business Host Corrects Trump When He Says He Fired Missiles At Iraq,2017-04-12,19:50:11,82,18
75,Manafort firm received Ukraine ledger payout,2017-04-12,18:11:39,113,5
76,Live Results: Republicans Defend House Seat in Kansas Special Election,2017-04-12,04:42:43,1261,578
77,Germany to Spicer: Nazi analogies lead to nothing good,2017-04-12,20:06:18,69,5
78,Trumps tax returns will be immediately under audit,2017-04-12,19:42:32,75,6
79,Georgia Republican makes unsubstantiated claim that rival is putting up yard signs without asking,2017-04-12,16:45:00,126,17
80,Manafort firm received Ukraine ledger payout,2017-04-12,18:20:41,99,1
81,Nancy Pelosi: Sean Spicer must be fired,2017-04-12,01:59:06,1754,132
82,GLAAD Calling on Nikki Haley to Act on Chechyna,2017-04-12,18:27:27,87,6
83,Trump is taking credit for jobs companies planned years in advance,2017-04-12,19:23:30,70,4
84,"Scott Pruitt requests funds for a 24/7 fleet of bodyguards, as the EPA is poised to cut health and safety programs",2017-04-11,23:46:11,2343,159
85,Trump Signals Steve Bannon Could Be On His Way Out,2017-04-12,20:00:49,52,8
86,"Tennessee Could Give Taxpayers Americas Fastest Internet For Free, But It Will Give Comcast and AT&T $45 Million Instead",2017-04-12,02:22:23,1364,47
87,Donald Trumps White House cant even organize the Easter Egg roll,2017-04-11,20:36:14,4406,729
88,Why Doesnt the United States Have Universal Healthcare?,2017-04-12,09:53:17,334,66
89,3 of Alabamas most powerful Republicans forced from office in 9 months,2017-04-11,18:57:40,6177,330
90,"Sorry America, Your Taxes Arent High",2017-04-11,20:21:21,4406,1129
91,"Nearly 1,500 economists across political divide agree that immigrants are good for the U.S.",2017-04-12,19:14:46,60,4
92,"Climate Change Is A National Security Issue, Says The Military",2017-04-11,17:22:37,10129,592
93,A Republican Wins in Kansas. Its Still a Loss for the G.O.P.,2017-04-12,15:23:33,122,28
